time,open,high,low,close,vol
1609430400,28782.01,29000.0,28311.0,28897.83,10279.179141
1609444800,28897.84,29169.55,28780.0,28923.63,7875.879035
1609459200,28923.63,29470.0,28690.17,29278.4,11560.456553
1609473600,29278.41,29395.0,28806.54,29092.83,7308.910274
1609488000,29092.84,29402.57,28872.24,29313.49,8283.705319
1609502400,29313.49,29600.0,29030.14,29188.67,11794.949515
1609516800,29188.67,29360.0,28624.57,29029.04,9850.965345
1609531200,29029.04,29338.89,28880.37,29331.69,5383.938005
1609545600,29331.7,29469.0,28946.53,29351.95,7393.028526
1609560000,29351.95,29820.5,29220.0,29750.0,9865.642845
1609574400,29751.47,29899.0,29473.91,29755.0,9226.804608
1609588800,29754.99,31800.0,29741.39,31691.29,34028.973399
1609603200,31691.09,33300.0,31616.42,33027.2,34849.617798
1609617600,33027.2,33061.37,30300.0,32178.33,34629.806186
1609632000,32176.45,32884.09,31962.99,32573.87,10890.302907
1609646400,32576.11,34778.11,32450.0,34452.34,26286.126296
1609660800,34451.78,34670.41,33403.0,34413.53,22651.532867
1609675200,34413.53,34600.0,32727.0,33506.62,23240.077177
1609689600,33505.15,33822.69,32267.0,32772.21,22427.187643
1609704000,32775.1,33861.92,32600.0,33000.05,15462.33986
1609718400,33000.05,33588.0,32400.25,33505.16,14536.79062
1609732800,33505.15,33600.0,31505.0,32068.84,21398.871909
1609747200,32068.84,32567.88,28130.0,30743.06,46591.471025
1609761600,30742.99,32185.67,30454.25,31745.72,26592.539453
1609776000,31745.71,31920.0,30626.36,31665.51,19886.660603
1609790400,31665.52,32031.01,30856.08,31988.71,11893.55208
1609804800,31989.75,32853.38,31130.86,31200.0,20813.0786
1609819200,31190.04,31538.45,29900.0,30817.77,23019.057178
1609833600,30817.78,31821.94,30817.78,31776.66,13255.6011
1609848000,31776.66,32375.07,31111.78,32099.98,16243.276369
1609862400,32099.97,34187.09,31763.23,33697.75,23832.165758
1609876800,33693.8,34360.0,33318.0,33949.53,18886.818033
1609891200,33949.53,34170.0,33288.0,34117.59,15779.353879
1609905600,34116.76,35766.58,34109.83,34676.4,26152.96499
1609920000,34666.8,35200.0,33357.9,34918.53,21063.050567
1609934400,34918.54,35088.0,34052.42,34566.19,18644.311939
1609948800,34566.18,35695.0,34372.92,34816.72,18876.49598
1609963200,34818.95,36939.21,34280.0,36769.36,26623.023955
1609977600,36769.36,37699.0,36422.71,37454.48,19662.246626
1609992000,37452.62,37700.8,36710.0,36859.85,16315.182158
1610006400,36863.04,37913.72,36300.0,37822.09,17213.968918
