time,open,high,low,close,vol
1704038400,2299.0,2309.42,2297.1,2304.2,7184.3564
1704042000,2304.21,2307.15,2291.22,2298.34,10260.8463
1704045600,2298.34,2305.79,2290.8,2303.19,8960.5115
1704049200,2303.2,2304.34,2291.14,2294.83,6990.5732
1704052800,2294.83,2294.83,2280.28,2282.4,12876.966
1704056400,2282.4,2292.75,2280.11,2283.2,7392.8667
1704060000,2283.21,2293.99,2258.88,2274.77,18374.1473
1704063600,2274.76,2284.42,2272.49,2281.87,10288.4085
1704067200,2281.87,2297.18,2281.27,2295.51,10771.9183
1704070800,2295.52,2306.6,2292.9,2303.72,8413.426
1704074400,2303.72,2304.72,2291.2,2293.02,5808.2533
1704078000,2293.03,2294.5,2271.0,2273.81,10745.736
1704081600,2273.8,2279.86,2265.24,2279.55,9681.5762
1704085200,2279.54,2283.36,2272.62,2275.89,6705.1165
1704088800,2275.89,2283.31,2274.16,2281.9,6056.6319
1704092400,2281.9,2287.88,2281.51,2284.67,5664.1887
1704096000,2284.68,2287.38,2280.0,2287.01,5571.1935
1704099600,2287.01,2300.0,2287.0,2299.8,8083.262
1704103200,2299.8,2303.0,2297.4,2302.04,8188.7741
1704106800,2302.04,2305.05,2299.0,2304.47,6050.8796
1704110400,2304.47,2307.24,2299.04,2299.43,7257.2379
1704114000,2299.42,2308.2,2298.07,2304.16,5288.8224
1704117600,2304.16,2305.11,2294.84,2300.99,7316.2575
1704121200,2300.99,2318.34,2299.2,2314.7,12303.5344
1704124800,2314.69,2319.55,2306.53,2309.89,11755.1864
1704128400,2309.89,2317.09,2306.48,2313.76,8560.8241
1704132000,2313.77,2331.77,2313.76,2326.9,15349.3543
1704135600,2326.9,2340.98,2322.0,2337.26,11136.8878
1704139200,2337.27,2348.78,2335.25,2340.98,17493.0377
1704142800,2340.98,2346.55,2332.2,2337.83,10238.9674
1704146400,2337.83,2339.1,2323.66,2334.21,6444.2583
1704150000,2334.22,2352.37,2334.17,2352.04,11817.3671
1704153600,2352.05,2391.43,2346.95,2387.58,40687.4646
1704157200,2387.59,2397.56,2370.38,2378.08,29424.4237
1704160800,2378.09,2382.96,2373.65,2382.95,13292.5147
1704164400,2382.96,2388.61,2371.47,2386.43,16262.0974
1704168000,2386.42,2390.44,2378.58,2387.66,12124.3336
1704171600,2387.66,2392.4,2377.18,2377.48,14852.3142
1704175200,2377.47,2383.68,2373.86,2373.86,10223.5551
1704178800,2373.86,2388.93,2373.69,2385.84,13341.4557
1704182400,2385.84,2431.3,2380.09,2426.49,48568.8207
1704186000,2426.49,2428.43,2411.74,2413.77,21469.8389
1704189600,2413.77,2416.4,2392.85,2398.14,19010.6342
1704193200,2398.15,2402.91,2380.36,2391.24,17120.8522
1704196800,2391.24,2404.68,2382.73,2386.85,15110.638
1704200400,2386.85,2400.78,2382.22,2398.0,13619.2626
1704204000,2398.01,2402.65,2354.92,2367.28,33817.2174
1704207600,2367.27,2371.14,2352.04,2357.48,25617.6125
1704211200,2357.48,2369.6,2350.19,2367.91,18916.5505
1704214800,2367.92,2368.14,2350.95,2357.43,11178.9001
1704218400,2357.43,2369.6,2355.54,2365.7,8386.0845
1704222000,2365.7,2372.75,2354.79,2369.19,18480.2093
1704225600,2369.19,2380.0,2358.32,2359.87,15536.6175
1704229200,2359.86,2366.34,2341.0,2366.34,16682.1997
1704232800,2366.33,2372.5,2357.53,2359.03,9548.8149
1704236400,2359.02,2363.24,2351.0,2355.34,14769.2522
1704240000,2355.35,2367.0,2347.4,2361.39,14703.209
1704243600,2361.39,2375.0,2360.04,2373.08,10216.5552
1704247200,2373.08,2384.66,2367.33,2368.75,14123.3289
1704250800,2368.75,2370.31,2364.21,2368.51,7666.7494
1704254400,2368.51,2373.9,2363.21,2370.5,11719.5227
1704258000,2370.51,2379.61,2367.99,2376.94,9631.564
1704261600,2376.94,2380.9,2373.6,2375.34,9648.9752
1704265200,2375.35,2379.68,2356.99,2361.64,15554.4245
1704268800,2361.65,2371.4,2361.26,2370.5,11377.5475
1704272400,2370.5,2385.45,2370.29,2376.01,17937.7063
1704276000,2376.02,2380.84,2360.88,2364.58,20258.2137
1704279600,2364.58,2365.62,2294.01,2307.68,59133.3805
1704283200,2307.99,2308.6,2100.0,2248.55,209264.8157
1704286800,2248.55,2248.8,2206.96,2223.79,65271.6267
1704290400,2223.79,2224.0,2191.0,2193.77,48027.5734
1704294000,2193.76,2241.0,2190.0,2240.4,47153.4205
1704297600,2240.39,2245.33,2222.11,2231.4,55308.6344
1704301200,2231.41,2235.0,2212.0,2223.3,31364.4458
1704304800,2223.3,2227.99,2188.0,2198.23,35399.3147
1704308400,2198.23,2229.11,2197.26,2206.53,30235.3792
1704312000,2206.54,2223.63,2205.28,2218.28,21326.7288
1704315600,2218.29,2227.87,2211.93,2226.03,18373.485
1704319200,2226.02,2226.45,2200.0,2205.39,20334.8895
1704322800,2205.38,2210.26,2196.23,2209.72,14697.9963
1704326400,2209.72,2219.92,2206.44,2210.64,13776.3421
1704330000,2210.64,2214.24,2201.91,2205.92,17337.1328
1704333600,2205.92,2232.89,2204.63,2231.59,13022.4081
1704337200,2231.6,2239.79,2225.23,2231.08,15194.924
1704340800,2231.07,2239.3,2227.8,2237.88,11737.6471
1704344400,2237.89,2244.04,2232.78,2235.93,15376.1833
1704348000,2235.93,2244.93,2235.0,2238.8,17678.9008
1704351600,2238.79,2241.83,2220.0,2221.85,24228.6995
1704355200,2221.85,2226.64,2211.13,2215.95,23815.4444
1704358800,2215.96,2229.71,2214.6,2223.4,10324.9931
1704362400,2223.41,2226.12,2205.0,2222.39,15301.0791
1704366000,2222.38,2230.71,2215.0,2228.14,11585.5486
1704369600,2228.13,2245.19,2222.7,2235.99,29830.227
1704373200,2235.99,2247.36,2231.8,2238.29,15912.5495
1704376800,2238.29,2274.48,2230.66,2273.25,32621.2049
1704380400,2273.26,2285.99,2261.93,2276.87,35027.0629
1704384000,2276.88,2280.97,2259.1,2269.58,29449.0032
1704387600,2269.59,2289.26,2267.35,2274.72,29583.6827
1704391200,2274.72,2279.96,2268.28,2273.76,13302.1568
1704394800,2273.76,2294.08,2271.01,2274.27,19089.4206
1704398400,2274.27,2294.69,2272.68,2273.4,18305.4429
1704402000,2273.4,2288.46,2268.51,2273.17,15060.3368
1704405600,2273.17,2286.75,2261.57,2270.0,13156.9883
1704409200,2270.01,2275.76,2266.57,2267.11,8126.6765
1704412800,2267.11,2274.76,2261.0,2267.62,11988.5698
1704416400,2267.62,2271.12,2212.0,2237.93,36936.1632
1704420000,2237.94,2251.2,2231.71,2240.4,19014.2827
1704423600,2240.41,2250.47,2238.92,2242.28,8943.3291
1704427200,2242.29,2247.63,2234.3,2243.85,12945.6834
1704430800,2243.86,2248.0,2241.42,2246.45,9594.8614
1704434400,2246.45,2257.87,2240.48,2255.34,18363.4853
1704438000,2255.34,2265.72,2252.74,2252.75,17584.0775
1704441600,2252.75,2259.2,2250.0,2252.24,15264.3154
1704445200,2252.24,2269.0,2252.23,2264.59,26133.9653
1704448800,2264.6,2265.89,2233.23,2240.31,14816.2616
1704452400,2240.32,2249.77,2238.96,2241.97,13474.3408
1704456000,2241.97,2253.64,2234.29,2242.03,13639.4615
1704459600,2242.04,2251.9,2237.28,2247.41,17264.5888
1704463200,2247.41,2252.77,2221.0,2226.79,29039.8466
1704466800,2226.8,2242.27,2218.0,2224.99,27168.394
1704470400,2225.0,2233.34,2210.01,2211.82,18457.0341
1704474000,2211.82,2232.79,2206.17,2232.1,19964.2276
1704477600,2232.1,2238.6,2224.2,2233.84,9113.1795
1704481200,2233.85,2240.67,2229.89,2234.26,8570.5586
1704484800,2234.26,2261.0,2234.25,2248.36,15134.2859
1704488400,2248.36,2248.74,2234.18,2246.39,8384.8671
1704492000,2246.4,2249.4,2238.22,2247.75,5201.6457
1704495600,2247.76,2277.21,2247.75,2268.78,28570.5757
1704499200,2268.78,2270.0,2257.87,2262.95,10606.0877
1704502800,2262.94,2263.29,2253.28,2254.91,7665.4264
1704506400,2254.92,2258.01,2251.0,2255.17,7072.2755
1704510000,2255.18,2256.2,2250.4,2252.99,4062.399
1704513600,2253.0,2255.66,2245.42,2246.79,5548.7886
1704517200,2246.79,2249.72,2229.63,2235.19,14871.2131
1704520800,2235.2,2235.6,2216.4,2219.34,18707.5482
1704524400,2219.35,2233.13,2216.4,2233.12,11531.0763
1704528000,2233.13,2238.05,2228.58,2237.54,7452.6581
1704531600,2237.54,2240.0,2233.8,2234.6,7160.5431
1704535200,2234.6,2239.2,2229.92,2235.94,6977.8224
1704538800,2235.95,2239.13,2231.03,2238.67,6223.5521
