time,open,high,low,close,vol
1704038400,42457.17,42558.26,42436.47,42556.15,187.52045
1704039300,42556.15,42592.59,42526.12,42562.31,193.38939
1704040200,42562.32,42671.99,42561.1,42641.36,238.9177
1704041100,42641.37,42700.0,42565.97,42592.47,243.00029
1704042000,42592.47,42648.38,42572.76,42631.99,214.25169
1704042900,42631.99,42643.86,42504.04,42504.05,175.48585
1704043800,42504.04,42526.7,42472.5,42526.69,154.38429
1704044700,42526.69,42659.52,42526.69,42616.23,242.68718
1704045600,42616.24,42631.59,42559.98,42585.46,155.67935
1704046500,42585.46,42629.66,42538.37,42629.66,146.8104
1704047400,42629.65,42719.8,42624.0,42696.77,228.64077
1704048300,42696.76,42702.54,42629.18,42656.7,151.86639
1704049200,42656.69,42683.99,42620.22,42639.99,165.06994
1704050100,42639.98,42676.72,42586.91,42673.07,208.49233
1704051000,42673.06,42678.01,42598.46,42670.74,136.83132
1704051900,42670.73,42695.44,42604.33,42619.04,193.16432
1704052800,42619.04,42651.1,42561.1,42576.01,223.73061
1704053700,42576.0,42680.36,42566.96,42581.99,285.54644
1704054600,42581.99,42625.75,42539.45,42571.11,252.20521
1704055500,42571.11,42594.6,42504.56,42558.01,253.65809
1704056400,42558.02,42610.0,42550.05,42591.44,179.69089
1704057300,42591.45,42670.44,42591.44,42629.3,284.98371
1704058200,42629.31,42641.97,42535.0,42601.32,230.14483
1704059100,42601.33,42601.33,42520.72,42520.72,228.6187
1704060000,42520.73,42575.16,42481.88,42515.95,249.73862
1704060900,42515.95,42573.5,42426.83,42573.5,226.44328
1704061800,42573.49,42591.1,42489.93,42489.93,176.24524
1704062700,42489.94,42489.94,42056.0,42257.88,1159.16697
1704063600,42257.89,42345.65,42196.61,42230.13,637.99923
1704064500,42230.14,42235.09,42066.0,42181.8,614.77027
1704065400,42181.81,42242.95,42154.34,42241.09,215.21045
1704066300,42241.09,42283.59,42221.22,42283.58,242.15726
1704067200,42283.58,42488.09,42261.02,42488.0,431.71082
1704068100,42488.0,42554.57,42412.02,42419.73,392.24889
1704069000,42419.73,42447.82,42354.19,42441.32,319.90644
1704069900,42441.32,42490.74,42422.45,42475.23,127.81493
1704070800,42475.23,42475.23,42431.65,42466.33,188.76099
1704071700,42466.32,42513.17,42466.32,42493.16,152.48691
1704072600,42493.16,42775.0,42493.16,42697.5,642.57307
1704073500,42697.5,42720.0,42613.56,42613.56,212.55759
1704074400,42613.57,42638.41,42541.1,42556.63,217.29821
1704075300,42556.64,42571.68,42531.1,42546.01,139.29978
1704076200,42546.0,42606.25,42533.0,42535.75,193.14053
1704077100,42535.74,42590.0,42500.0,42581.1,135.48128
1704078000,42581.09,42586.64,42501.67,42508.24,169.14866
1704078900,42508.24,42508.24,42419.39,42429.47,175.84382
1704079800,42429.47,42459.02,42230.08,42302.19,199.04695
1704080700,42302.19,42358.84,42243.99,42330.49,250.76448
1704081600,42330.5,42377.43,42273.26,42287.5,157.71914
1704082500,42287.5,42315.0,42209.46,42307.39,261.25449
1704083400,42307.4,42345.08,42283.86,42310.98,153.21792
1704084300,42310.99,42399.99,42304.0,42399.99,143.22605
1704085200,42399.98,42406.0,42315.0,42352.0,189.17581
1704086100,42352.0,42361.1,42297.9,42297.91,182.56287
1704087000,42297.91,42321.13,42278.0,42300.02,171.82087
1704087900,42300.01,42300.02,42180.77,42234.01,192.97197
1704088800,42234.01,42301.98,42208.68,42276.01,191.20854
1704089700,42276.0,42344.76,42270.22,42321.1,117.6485
1704090600,42321.1,42385.57,42309.15,42377.62,156.48093
1704091500,42377.61,42424.82,42372.52,42396.69,136.03453
1704092400,42396.69,42481.1,42396.68,42454.01,243.30938
