time,open,high,low,close,vol
1609459200,28923.63,29470.0,28690.17,29313.49,27153.072146
1609502400,29313.49,29600.0,28624.57,29331.69,27029.852865
1609545600,29331.7,29899.0,28946.53,29755.0,26485.475979
1609588800,29754.99,33300.0,29741.39,32178.33,103508.397383
1609632000,32176.45,34778.11,31962.99,34413.53,59827.96207
1609675200,34413.53,34600.0,32267.0,33000.05,61129.60468
1609718400,33000.05,33600.0,28130.0,30743.06,82527.133554
1609761600,30742.99,32185.67,30454.25,31988.71,58372.752136
1609804800,31989.75,32853.38,29900.0,31776.66,57087.736878
1609848000,31776.66,34360.0,31111.78,33949.53,58962.26016
1609891200,33949.53,35766.58,33288.0,34918.53,62995.369436
1609934400,34918.54,36939.21,34052.42,36769.36,64143.831874
1609977600,36769.36,37913.72,36300.0,37822.09,53191.397702
1610020800,37825.64,40365.0,36500.0,39432.28,79634.302735
1610064000,39432.48,41500.45,36500.0,41286.67,68099.923855
1610107200,41286.67,41950.0,38652.0,40582.81,71690.033644
1610150400,40586.96,41237.44,38720.0,40565.77,40888.602045
1610193600,40565.77,41380.0,39869.0,40088.22,34897.37763
1610236800,40088.22,41350.0,38888.0,39181.76,39820.585147
1610280000,39175.09,40126.0,35111.11,38150.02,78388.959356
1610323200,38150.02,38264.74,32538.0,34198.56,109921.202527
1610366400,34198.55,35638.55,30420.0,35404.47,141234.93576
1610409600,35410.37,36628.0,33677.03,35410.99,62106.571642
1610452800,35410.99,35688.82,32531.0,34051.24,71841.580354
1610496000,34049.15,35250.0,32380.0,34385.48,67383.085009
1610539200,34385.48,37850.0,34017.0,37371.38,57094.829929
1610582400,37371.38,38786.1,36701.23,38365.86,45557.5264
1610625600,38365.86,40100.0,37707.0,39144.5,57392.863021
1610668800,39145.21,39747.76,37554.94,38108.88,39014.962364
1610712000,38108.87,38194.04,34408.0,36742.22,79285.958552
1610755200,36737.43,37950.0,35520.0,37680.0,43331.386766
1610798400,37680.0,37886.0,35357.8,35994.98,43017.044742
1610841600,35994.98,36744.05,33850.0,35267.17,45399.876134
1610884800,35270.0,36852.5,34666.0,35828.61,34757.85125
1610928000,35824.99,36650.0,34800.0,36442.08,34515.956404
1610971200,36443.91,37469.83,35400.0,36631.27,36182.162346
1611014400,36622.46,37535.27,36002.01,37266.49,41802.410271
1611057600,37263.73,37850.0,35844.06,35891.49,37808.897498
1611100800,35901.94,36415.31,34000.0,34426.17,46893.421226
1611144000,34426.17,35670.0,33400.0,35468.23,42475.001692
1611187200,35468.23,35600.0,32009.68,32208.62,54812.83014
1611230400,32206.89,32784.31,30071.0,30850.13,80191.246518
1611273600,30851.99,32152.9,28850.0,31710.88,91497.465132
1611316800,31712.09,33826.53,31286.0,32945.17,51474.218917
1611360000,32950.0,33456.0,31511.24,31645.49,37130.344616
1611403200,31643.9,32538.61,31390.16,32078.0,27464.943059
1611446400,32078.0,33071.0,31630.0,32833.37,26502.595863
1611489600,32833.37,32931.59,30900.0,32259.9,31475.442103
1611532800,32259.45,33797.96,32175.61,33185.26,37059.5798
1611576000,33185.25,34875.0,31910.0,32254.2,51439.647121
1611619200,32254.19,32827.33,31100.0,31796.95,42546.690792
1611662400,31798.65,32921.88,30837.37,32467.77,42425.516118
1611705600,32464.01,32557.29,30578.94,30639.05,34593.290206
1611748800,30635.74,31649.99,29241.72,30366.15,61318.671505
1611792000,30362.19,31876.63,29842.1,31437.37,38504.403685
1611835200,31437.37,33783.98,31161.96,33364.86,54116.741932
1611878400,33368.18,37990.0,31915.4,37025.32,129828.236536
1611921600,37023.83,38531.9,33500.0,34252.2,101998.76909
1611964800,34246.28,34933.0,32825.0,33660.4,50394.577542
1612008000,33660.4,34800.0,33410.63,34262.88,34495.103798
1612051200,34262.89,34342.69,33205.0,33563.23,26533.64027
1612094400,33563.24,34220.0,32171.67,33092.98,42208.640114
1612137600,33092.97,34717.27,32296.16,34183.33,49546.369401
1612180800,34183.33,34460.0,33133.26,33526.37,33171.907481
1612224000,33517.09,35668.1,33418.0,34720.15,41601.98797
1612267200,34722.97,35984.33,34333.0,35466.24,36454.67191
1612310400,35472.71,36845.0,35362.38,35969.41,38504.432089
1612353600,35969.41,37662.63,35810.9,37618.87,42279.901574
1612396800,37620.26,38708.27,36662.45,37321.75,51452.791921
1612440000,37319.43,37783.83,36161.95,36936.66,40627.943977
1612483200,36936.65,37800.0,36570.0,37691.32,30365.465789
1612526400,37691.32,38310.12,37230.0,38290.24,36315.868486
1612569600,38289.32,40479.86,38215.94,40199.99,54576.754501
1612612800,40199.52,40955.51,39035.33,39186.94,44180.556682
1612656000,39181.01,39700.0,37923.0,39046.6,41863.5133
1612699200,39044.37,39272.69,37351.0,38795.69,42500.166463
1612742400,38795.69,39498.99,37988.89,39423.08,31705.901991
1612785600,39423.08,46794.45,39094.01,46374.87,106891.634923
1612828800,46374.86,48142.19,45500.0,46380.92,67280.043103
1612872000,46390.95,47499.43,44961.09,46420.42,48219.818609
1612915200,46420.42,47310.0,45589.98,46586.56,40621.020552
1612958400,46586.55,46593.34,43727.0,44807.58,56533.161648
1613001600,44807.58,46546.47,43994.02,46061.49,30148.103505
1613044800,46061.48,48678.9,46060.03,47969.51,59412.977949
1613088000,47968.66,48985.8,46789.0,47562.42,41699.073043
1613131200,47560.06,48150.0,46125.0,47287.6,44170.962654
1613174400,47298.15,48150.0,46251.0,46589.2,35575.801107
1613217600,46586.23,47400.14,46202.53,47153.69,28192.296292
1613260800,47156.78,49404.94,47014.17,49055.16,40328.684688
1613304000,49055.17,49707.43,48101.38,48577.79,33406.790845
1613347200,48580.47,49010.92,45570.79,47802.66,46510.415632
1613390400,47802.67,48801.0,47423.99,47911.1,32887.741152
1613433600,47911.1,49998.0,47003.62,48915.48,38578.286178
1613476800,48915.49,50689.18,47750.0,49133.45,50234.98012
1613520000,49133.45,51678.36,48947.0,51273.46,47097.601242
1613563200,51270.86,52618.74,50542.3,52119.71,38646.036576
1613606400,52117.67,52530.0,51133.0,51374.07,30814.839409
1613649600,51375.12,52285.0,50901.9,51552.6,29943.207545
1613692800,51552.61,52984.99,50710.2,52710.0,33629.075711
1613736000,52709.99,56368.0,52315.37,55906.0,46030.702309
1613779200,55906.0,56609.14,55030.0,56355.91,33880.526925
1613822400,56355.94,57700.46,53863.93,55841.19,47067.678389
1613865600,55841.19,57827.0,55477.59,57284.79,28622.724512
