id,code,tradeStatus,code_name,exchange,type,date
sh.000123,000123,1,上证180动态指数,sh,2,2013-02-08
sh.000125,000125,1,上证180稳定指数,sh,2,2013-02-08
sh.000126,000126,1,消费50,sh,2,2011-12-09
sh.000128,000128,1,380基本,sh,2,2012-01-09
sh.000129,000129,1,180波动,sh,2,2012-01-09
sh.000130,000130,1,380波动,sh,2,2012-01-09
sh.000131,000131,1,上证高新,sh,2,2012-02-10
sh.000132,000132,1,上证100,sh,2,2012-04-20
sh.000133,000133,1,上证150,sh,2,2012-04-20
sh.000134,000134,1,上证银行股指数,sh,2,2012-05-29
sh.000135,000135,1,上证180高贝塔指数,sh,2,2012-08-06
sh.000136,000136,1,上证180低贝塔指数,sh,2,2012-08-06
sh.000137,000137,1,上证380高贝塔指数,sh,2,2012-08-06
sh.000138,000138,1,上证380低贝塔指数,sh,2,2012-08-06
sh.000139,000139,1,上证可转换债券指数,sh,2,2012-09-12
sh.000141,000141,1,上证380动态指数,sh,2,2013-02-08
sh.000142,000142,1,上证380稳定指数,sh,2,2013-02-08
sh.000145,000145,1,上证优势资源产业指数,sh,2,2012-05-29
sh.000146,000146,1,上证优势制造产业指数,sh,2,2012-05-29
sh.000147,000147,1,上证优势消费产业指数,sh,2,2012-05-29
sh.000148,000148,1,上证消费服务领先指数,sh,2,2012-05-29
sh.000149,000149,1,上证180红利指数,sh,2,2012-07-20
sh.000150,000150,1,上证380红利指数,sh,2,2012-07-20
sh.000151,000151,1,上证国有企业红利指数,sh,2,2012-07-20
sh.000152,000152,1,上证中央企业红利指数,sh,2,2012-07-20
sh.000153,000153,1,上证民营企业红利指数,sh,2,2012-07-20
sh.000155,000155,1,上证市值百强指数,sh,2,2012-07-20
sh.000158,000158,1,上证环保产业指数,sh,2,2012-09-25
sh.000159,000159,1,上证沪股通指数,sh,2,2014-11-17
sh.000160,000160,1,上证一带一路主题指数,sh,2,2015-06-24
sh.000161,000161,1,上证中国制造主题指数,sh,2,2015-10-29
sh.000162,000162,1,上证互联网+主题指数,sh,2,2015-10-29
sh.000300,000300,1,沪深300指数,sh,2,2005-04-08
sh.000802,000802,1,500沪市,sh,2,2011-11-08
sh.000805,000805,1,A股资源,sh,2,2012-01-06
sh.000806,000806,1,消费服务,sh,2,2012-02-10
sh.000807,000807,1,食品饮料,sh,2,2012-02-17
sh.000808,000808,1,医药生物,sh,2,2012-02-17
sh.000814,000814,1,细分医药,sh,2,2012-04-11
sh.000819,000819,1,有色金属,sh,2,2012-05-09
sh.000823,000823,1,中证800有色,sh,2,2013-08-02
sh.000827,000827,1,中证环保产业指数,sh,2,2012-09-25
sh.000828,000828,1,沪深300高贝塔指数,sh,2,2012-08-06
sh.000832,000832,1,中证可转换债券指数,sh,2,2012-09-12
sh.000846,000846,1,中证财通中国可持续发展100(ECPIESG)指数,sh,2,2012-10-16
sh.000847,000847,1,中证腾讯济安价值100A股指数,sh,2,2013-11-18
sh.000849,000849,1,沪深300非银行金融指数,sh,2,2012-12-21
sh.000851,000851,1,百发100指数,sh,2,2014-07-30
sh.000852,000852,1,中证1000指数,sh,2,2014-10-17
sh.000853,000853,1,中证申万一带一路主题投资指数,sh,2,2015-04-23
sh.000854,000854,1,中证500原材料指数,sh,2,2013-11-06
sh.000855,000855,1,央视财经500指数,sh,2,2014-11-03
sh.000856,000856,1,中证500工业指数,sh,2,2013-11-06
sh.000857,000857,1,中证500医药卫生指数,sh,2,2013-11-06
sh.000858,000858,1,中证500信息技术指数,sh,2,2013-11-06
sh.000901,000901,1,中证南方小康产业指数,sh,2,2010-04-02
sh.000903,000903,1,中证A100指数,sh,2,2006-05-29
sh.000904,000904,1,中证200指数,sh,2,2007-01-15
sh.000905,000905,1,中证500指数,sh,2,2007-01-15
sh.000906,000906,1,中证800指数,sh,2,2007-01-15
sh.000908,000908,1,沪深300能源指数,sh,2,2007-07-02
sh.000909,000909,1,沪深300原材料指数,sh,2,2007-07-02
sh.000910,000910,1,沪深300工业指数,sh,2,2007-07-02
sh.000911,000911,1,沪深300可选消费指数,sh,2,2007-07-02
sh.000912,000912,1,沪深300主要消费指数,sh,2,2007-07-02
sh.000913,000913,1,沪深300医药卫生指数,sh,2,2007-07-02
sh.000914,000914,1,沪深300金融地产指数,sh,2,2007-07-02
sh.000917,000917,1,沪深300公用事业指数,sh,2,2007-07-02
sh.000918,000918,1,沪深300成长指数,sh,2,2008-01-21
sh.000919,000919,1,沪深300价值指数,sh,2,2008-01-21
sh.000922,000922,1,中证红利指数,sh,2,2008-05-26
sh.000925,000925,1,中证锐联基本面50指数,sh,2,2009-02-26
sh.000928,000928,1,中证能源指数,sh,2,2009-07-03
sh.000931,000931,1,中证可选消费指数,sh,2,2009-07-03
sh.000932,000932,1,中证主要消费指数,sh,2,2009-07-03
sh.000933,000933,1,中证医药卫生指数,sh,2,2009-07-03
sh.000934,000934,1,中证金融地产指数,sh,2,2009-07-03
sh.000935,000935,1,中证信息技术指数,sh,2,2009-07-03
sh.000944,000944,1,中证内地资源主题指数,sh,2,2009-10-28
sh.000952,000952,1,沪深300房地产指数,sh,2,2009-10-28
sh.000959,000959,1,银河99,sh,2,2010-02-09
sh.000961,000961,1,中证上游资源产业指数,sh,2,2010-04-16
sh.000964,000964,1,中证新兴产业指数,sh,2,2010-04-30
sh.000966,000966,1,中证锐联基本面400指数,sh,2,2010-06-02
sh.000969,000969,1,沪深300非周期行业指数,sh,2,2010-05-28
sh.000971,000971,1,等权90,sh,2,2010-12-02
sh.000974,000974,1,中证800金融指数,sh,2,2013-08-02
sh.000977,000977,1,中证内地低碳经济主题指数,sh,2,2011-01-21
sh.000978,000978,1,中证医药100指数,sh,2,2011-03-18
sh.000979,000979,1,中证大宗商品股票指数,sh,2,2011-08-22
sh.000982,000982,1,中证500等权重指数,sh,2,2011-06-13
sh.000984,000984,1,沪深300等权重指数,sh,2,2011-08-02
sh.000986,000986,1,中证全指能源指数,sh,2,2011-08-02
sh.000987,000987,1,中证全指原材料指数,sh,2,2011-08-02
sh.000989,000989,1,中证全指可选消费指数,sh,2,2011-08-02
sh.000990,000990,1,中证全指主要消费指数,sh,2,2011-08-02
sh.000991,000991,1,中证全指医药卫生指数,sh,2,2011-08-02
sh.000992,000992,1,中证全指金融地产指数,sh,2,2011-08-02
sh.000993,000993,1,中证全指信息技术指数,sh,2,2011-08-02
sh.000998,000998,1,中证TMT产业主题指数,sh,2,2011-11-08
sh.600000,600000,1,浦发银行,sh,1,1999-11-10
sh.600004,600004,1,白云机场,sh,1,2003-04-28
sh.600006,600006,1,东风股份,sh,1,1999-07-27
sh.600007,600007,1,中国国贸,sh,1,1999-03-12
sh.600008,600008,1,首创环保,sh,1,2000-04-27
sh.600009,600009,1,上海机场,sh,1,1998-02-18
sh.600010,600010,1,包钢股份,sh,1,2001-03-09
sh.600011,600011,1,华能国际,sh,1,2001-12-06
sh.600012,600012,1,皖通高速,sh,1,2003-01-07
sh.600015,600015,1,华夏银行,sh,1,2003-09-12
sh.600016,600016,1,民生银行,sh,1,2000-12-19
sh.600017,600017,1,日照港,sh,1,2006-10-17
sh.600018,600018,1,上港集团,sh,1,2006-10-26
sh.600019,600019,1,宝钢股份,sh,1,2000-12-12
sh.600020,600020,1,中原高速,sh,1,2003-08-08
sh.600021,600021,1,上海电力,sh,1,2003-10-29
sh.600022,600022,1,山东钢铁,sh,1,2004-06-29
sh.600023,600023,1,浙能电力,sh,1,2013-12-19
sh.600025,600025,1,华能水电,sh,1,2017-12-15
sh.600026,600026,1,中远海能,sh,1,2002-05-23
sh.600027,600027,1,华电国际,sh,1,2005-02-03
sh.600028,600028,1,中国石化,sh,1,2001-08-08
sh.600029,600029,1,南方航空,sh,1,2003-07-25
sh.600030,600030,1,中信证券,sh,1,2003-01-06
sh.600031,600031,1,三一重工,sh,1,2003-07-03
sh.600032,600032,1,浙江新能,sh,1,2021-05-25
sh.600033,600033,1,福建高速,sh,1,2001-02-09
sh.600035,600035,1,楚天高速,sh,1,2004-03-10
sh.600036,600036,1,招商银行,sh,1,2002-04-09
sh.600037,600037,1,歌华有线,sh,1,2001-02-08
sh.600038,600038,1,中直股份,sh,1,2000-12-18
sh.600039,600039,1,四川路桥,sh,1,2003-03-25
sh.600048,600048,1,保利发展,sh,1,2006-07-31
sh.600050,600050,1,中国联通,sh,1,2002-10-09
sh.600051,600051,1,宁波联合,sh,1,1997-04-10
sh.600052,600052,1,东望时代,sh,1,1997-04-15
sh.600053,600053,1,九鼎投资,sh,1,1997-04-18
sh.600054,600054,1,黄山旅游,sh,1,1997-05-06
sh.600055,600055,1,万东医疗,sh,1,1997-05-19
sh.600056,600056,1,中国医药,sh,1,1997-05-15
sh.600057,600057,1,厦门象屿,sh,1,1997-06-04
sh.600058,600058,1,五矿发展,sh,1,1997-05-28
sh.600059,600059,1,古越龙山,sh,1,1997-05-16
sh.600060,600060,1,海信视像,sh,1,1997-04-22
